descricao;recalmacao
Serviço de suporte, reparo e  manutenção;Dificuldade para alterar ou cancelar o contrato /serviço
Acessório para eletroeletrônicos (pilhas, baterias etc);Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores
Fogão, microondas, forno elétrico, depurador de ar e coifa;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores
Aparelho celular;Não entrega / demora na entrega do produto
Aparelho celular;Não entrega / demora na entrega do produto
Segurança / monitoramento / rastreamento;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros
Serviço de Assessoria (jurídica e/ou financeira, emissão de documentos/despachante, reabilitação de nome/crédito, revisão de contrato etc);Cobrança indevida / abusiva para alterar ou cancelar o contrato
Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Negativação indevida (SPC, Serasa, SCPC etc)
Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Suspensão ou desligamento indevido do serviço
Material de construção, acabamento e ferramentas;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento)
Serviço de pagamento online/ via celular/ maquininha;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Serviço de pagamento online/ via celular/ maquininha;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros
Livros e papelaria (material didático, artigos de escritório, etc.);Não entrega / demora na entrega do produto
Serviço de pagamento online/ via celular/ maquininha;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros
Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança após cancelamento do serviço
Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores
Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dificuldade para alterar/ ativar serviços
Aparelho celular;Não entrega / demora na entrega do produto
Serviço de pagamento online/ via celular/ maquininha;Produto entregue incompleto / diferente do  pedido / danificado
Serviços de Mudança;Dificuldade para alterar ou cancelar o contrato /serviço
Cultura / Esporte / Lazer / Eventos (shows, jogos, cinema, teatro, festas, clubes, academias de ginástica);Dificuldade de contato / demora no atendimento
Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Perfumaria, cosméticos e higiene pessoal;Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc );Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento)
Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Suspensão ou desligamento indevido do serviço
Livros e papelaria (material didático, artigos de escritório, etc.);Dificuldade de contato / demora no atendimento
Serviço de Assessoria (jurídica e/ou financeira, emissão de documentos/despachante, reabilitação de nome/crédito, revisão de contrato etc);Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Fogão, microondas, forno elétrico, depurador de ar e coifa;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento)
Aparelho de telefone fixo / interfone;Não entrega / demora na entrega do produto
Veículos ? Peças e Acessórios (roda, pneu, rádio, farol, etc.);Dificuldade de contato / demora no atendimento
Acessório para eletroeletrônicos (pilhas, baterias etc);Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Serviço de pagamento online/ via celular/ maquininha;Dificuldade de contato / demora no atendimento
Televisão;Não entrega / demora na entrega do produto
Perfumaria, cosméticos e higiene pessoal;Produto falsificado
Cartão de Crédito / Cartão de Débito / Cartão de Loja;Dificuldade de contato / acesso a outros canais (exceto SAC)
Serviço de suporte, reparo e  manutenção;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto
Locação/ Aluguel - carros, roupas etc (exceto habitação);Negativação indevida (SPC, Serasa, SCPC etc)
Perfumaria, cosméticos e higiene pessoal;Produto falsificado
Serviço de pagamento online/ via celular/ maquininha;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores
Material de construção, acabamento e ferramentas;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento)
Serviço de suporte, reparo e  manutenção;Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Serviço de suporte, reparo e  manutenção;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Aparelho celular;Dificuldade de contato / demora no atendimento
Serviço de Assessoria (jurídica e/ou financeira, emissão de documentos/despachante, reabilitação de nome/crédito, revisão de contrato etc);Dificuldade de contato / demora no atendimento
Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc);Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores
Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc);Não entrega / demora na entrega do produto
Aparelho celular;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Material de construção, acabamento e ferramentas;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores
Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Não entrega / demora na entrega do produto
